city;neighbourhood;street;price;House No.;Flat No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Building Energy Efficiency Class;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Object;Unique item number (RC number)
Vilnius;Naujoji Vilnia;Gerovės g.;"Price decreased 4,9%
99 900 € (2 209 €/m²)";57;;45,23 m²;2;6;6;1997;Brick;Central;Fully equipped;;New sewage system New electrical installation;Balcony Cellar Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Alarm system Code door lock Video surveillance;580 m;300 m;410 m;60 m;3;;
Vilnius;Justiniškės;Taikos g.;99 900 € (1 491 €/m²);105;;67 m²;3;9;9;1985;Block house;Central;Fully equipped;;;;;;150 m;90 m;180 m;210 m;"83,75 €/month
~ 1,25 €/m²";;
Vilnius;Markučiai;Manufaktūrų g.;620 000 € (7 381 €/m²);;;84 m²;3;5;5;2020;Brick;Central thermostat;Fully equipped;A+;Internet Kitchen merged with room Cable television;Balcony Terrace;Furniture Conditioner Washing machine;Steel doors Alarm system Code door lock;160 m;890 m;220 m;240 m;"39,48 €/month
~ 0,47 €/m²";;
Vilnius;Pašilaičiai;Girulių g.;130 000 € (2 078 €/m²);;;62,56 m²;2;9;9;2008;Brick;Central thermostat;Fully equipped;;;;;;20 m;930 m;100 m;180 m;13;;
Vilnius;Senamiestis;Sodų g.;175 000 € (2 151 €/m²);13;;81,35 m²;4;2;2;1940;Brick;Gas;Fully equipped;;Private yard;Storeroom Cellar Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower;Steel doors;110 m;130 m;80 m;140 m;"68,33 €/month
~ 0,84 €/m²";;
Vilnius;Pilaitė;Simono Grunau g.;109 000 € (2 085 €/m²);36;;52,29 m²;3;2;4;2022;Brick;Gas;Partially equipped;;New sewage system New electrical installation Internet Kitchen merged with room;Balcony Parking space;Floor heating system Plastic pipes Bath;Steel doors Code door lock;910 m;1,2 km;330 m;310 m;1;;
Vilnius;Pilaitė;Simono Grunau g.;115 000 € (2 341 €/m²);36;;49,12 m²;2;2;4;2022;Brick;Gas;Partially equipped;;;;;;910 m;1,2 km;330 m;310 m;1;;
Vilnius;Žvėrynas;Lūšių g.;285 000 € (3 535 €/m²);25;;80,62 m²;3;3;4;2003;Brick;Gas, other;Fully equipped;;;Storeroom Terrace Parking space;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Fireplace Dish washer Bath;Steel doors Alarm system Code door lock;80 m;390 m;340 m;290 m;3;;
Vilnius;Senamiestis;Pylimo g.;95 000 € (3 865 €/m²);;;24,58 m²;1;1;2;1940;Brick;Central;Fully equipped;;Private entrance New sewage system New electrical installation Private yard Kitchen merged with room;;Refrigerator Kitchen furniture Stove Plastic pipes Shower;Steel doors;290 m;220 m;180 m;180 m;"53,09 €/month
~ 2,16 €/m²";;
Vilnius;Naujoji Vilnia;Parko g.;93 000 € (2 183 €/m²);;;42,61 m²;2;2;4;1963;Brick;Central;Fully equipped;;Private entrance;Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;;110 m;200 m;190 m;50 m;"37,92 €/month
~ 0,89 €/m²";;
Vilnius;Senamiestis;Gedimino pr.;582 366 € (6 200 €/m²);;;93,93 m²;3;5;5;2022;Brick;Central thermostat;Partially equipped;;Private yard High ceiling;Balcony;;Steel doors Guard Video surveillance Code door lock;510 m;140 m;70 m;90 m;12;;
Vilnius;Senamiestis;Gedimino pr.;308 462 € (7 700 €/m²);;;40,06 m²;2;5;5;2022;Brick;Central thermostat;Partially equipped;;Private yard High ceiling;Balcony;;Steel doors Guard Video surveillance Code door lock;510 m;140 m;70 m;90 m;12;;
Vilnius;Baltupiai;Didlaukio g.;117 000 € (3 185 €/m²);;;36,74 m²;2;2;5;2020;Brick;Central thermostat;Fully equipped;;;;;;80 m;200 m;490 m;240 m;"19,84 €/month
~ 0,54 €/m²";;
Vilnius;Šeškinė;Gelvonų g.;128 000 € (2 536 €/m²);34;;50,47 m²;3;6;9;1982;Block house;Central;Fully equipped;;Separate bathroom and WC New sewage system New electrical installation Internet Cable television Kitchen merged with room;Balcony Closet;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Plastic pipes Dish washer Shower;Steel doors Code door lock;110 m;290 m;270 m;90 m;"82,77 €/month
~ 1,64 €/m²";;
Vilnius;Žirmūnai;Žirmūnų g.;143 000 € (2 860 €/m²);12;;50 m²;2;4;12;1971;Brick;Central;Fully equipped;;Has elevator New sewage system New electrical installation Internet Cable television;Storeroom Balcony Cellar Parking space Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower;Steel doors Code door lock;120 m;130 m;390 m;300 m;"76,00 €/month
~ 1,52 €/m²";;
Vilnius;Santariškės;J. Franko g.;225 000 € (3 578 €/m²);;;62,88 m²;3;3;3;2006;Brick;Central, central thermostat;Fully equipped;;;Balcony Parking space;;;180 m;1,7 km;100 m;290 m;1;;
Vilnius;Naujamiestis;Savanorių pr.;255 000 € (3 962 €/m²);11A;;64,36 m²;2;6;8;2008;Brick;Central thermostat;Fully equipped;;High ceiling New sewage system Internet Kitchen merged with room;Balcony Closet;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Bath;Steel doors Alarm system Code door lock;300 m;260 m;340 m;90 m;"38,62 €/month
~ 0,60 €/m²";;
Vilnius;Šnipiškės;Žalgirio g.;167 000 € (3 280 €/m²);;;50,91 m²;2;5;8;2006;Monolithic;Central thermostat;Fully equipped;;Internet Cable television Kitchen merged with room;Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;240 m;540 m;410 m;50 m;"39,20 €/month
~ 0,77 €/m²";;
Vilnius;Antakalnis;V. Grybo g.;59 900 € (3 153 €/m²);33;;19 m²;1;3;5;1972;Brick;Central;Fully equipped;;New sewage system New electrical installation Internet Kitchen merged with room;;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower;Code door lock;70 m;240 m;230 m;210 m;6;;
Vilnius;Justiniškės;Mozūriškių g.;175 000 € (4 375 €/m²);188;;40 m²;2;3;3;2024;Brick;Central thermostat;Fully equipped;;New sewage system New electrical installation Kitchen merged with room;Balcony;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Bath;Steel doors Code door lock;500 m;490 m;550 m;570 m;0;;
Vilnius;Senamiestis;Pamėnkalnio g.;435 000 € (5 179 €/m²);4;;84 m²;3;3;3;1941 construction, 2014 renovation;Brick;Central;Fully equipped;;High ceiling Flat in an attic New sewage system New electrical installation Private yard Internet;Storeroom Cellar Parking space Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Fireplace Dish washer;Steel doors;180 m;330 m;220 m;80 m;"161,28 €/month
~ 1,92 €/m²";;
Vilnius;Senamiestis;Subačiaus g.;800 000 € (5 882 €/m²);17;;136 m²;3;2;4;2003;Brick;Central thermostat;Fully equipped;A+;Private entrance High ceiling Two-floor flat New electrical installation Private yard;Storeroom Balcony Parking space Closet;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Fireplace Dish washer Shower Bath Recuperation;Steel doors Alarm system;270 m;210 m;350 m;180 m;"107,44 €/month
~ 0,79 €/m²";;
Vilnius;Viršuliškės;Viršuliškių g.;"Price decreased 2%
98 000 € (1 531 €/m²)";;;64 m²;3;1;9;1976;Block house;Central;Fully equipped;;Separate bathroom and WC;Balcony Cellar;Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;200 m;310 m;340 m;180 m;"73,60 €/month
~ 1,15 €/m²";;
Vilnius;Antakalnis;P. Vileišio g.;120 000 € (2 105 €/m²);;;57 m²;3;5;5;1963;Block house;Central;Fully equipped;;;Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower;Steel doors Code door lock;130 m;430 m;260 m;100 m;13;;
Vilnius;Šnipiškės;Kalvarijų g.;"180 000 € (2 857 €/m²)
(interested in changing)";;;63 m²;3;5;9;1976;Block house;Central;Fully equipped;;New sewage system New electrical installation Internet Cable television;Storeroom Balcony Cellar Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower Recuperation;Steel doors Code door lock;90 m;370 m;120 m;140 m;11;;
Vilnius;Žirmūnai;Kalvarijų g.;"180 000 € (2 844 €/m²)
(interested in changing)";;;63,3 m²;3;5;9;1976;Block house;Central;Fully equipped;;New sewage system New electrical installation Internet Cable television;Storeroom Balcony Cellar Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower Recuperation;Steel doors Code door lock;90 m;370 m;120 m;140 m;11;;
Vilnius;Žirmūnai;Minties g.;"Price decreased 2,7%
109 000 € (3 363 €/m²)";54;;32,41 m²;1;1;9;1968;Block house;Central;Fully equipped;;New sewage system New electrical installation Internet Cable television;Balcony Cellar;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Shower;Steel doors Code door lock;210 m;390 m;90 m;90 m;"34,35 €/month
~ 1,06 €/m²";;
Vilnius;Naujamiestis;Šlaito g.;170 000 € (3 036 €/m²);;;56 m²;3;2;3;2007;Brick;Central thermostat;Fully equipped;;Kitchen merged with room;Balcony Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Fireplace Plastic pipes Dish washer Bath;Steel doors;350 m;300 m;440 m;150 m;6;;
Vilnius;Pašilaičiai;Eitminų g.;99 000 € (2 475 €/m²);;;40 m²;1;5;9;2009;Brick;Central thermostat;Fully equipped;;;;;;130 m;890 m;420 m;110 m;6;;
Vilnius;Pašilaičiai;Eitminų g.;99 000 € (2 475 €/m²);;;40 m²;1;5;9;2009;Brick;Central thermostat;Fully equipped;;;;;;130 m;890 m;420 m;110 m;6;;
Vilnius;Vilkpėdė;Vilkpėdės g.;180 000 € (2 796 €/m²);;;64,38 m²;2;4;6;2008;Brick;Central thermostat;Fully equipped;;;;;;550 m;500 m;220 m;250 m;0;;
Vilnius;Burbiškės;Burbiškių g.;354 000 € (3 792 €/m²);;;93,35 m²;4;1;4;2022;Brick;Central thermostat;Fully equipped;;;;;;740 m;660 m;800 m;980 m;1;;
Vilnius;Žirmūnai;Verkių g.;170 000 € (4 250 €/m²);39;;40 m²;2;4;9;2023;Brick;Central thermostat;Fully equipped;;;;;;170 m;540 m;280 m;100 m;4;;
Vilnius;Vilkpėdė;Jankiškių g.;60 000 € (3 333 €/m²);;;18 m²;1;4;4;1985 construction, 2023 renovation;Brick;Electric, other;Fully equipped;;High ceiling New sewage system New electrical installation Kitchen merged with room;Storeroom;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower;Steel doors Code door lock;920 m;1,2 km;710 m;390 m;3;;
Vilnius;Vilkpėdė;Jankiškių g.;60 000 € (3 333 €/m²);2;;18 m²;1;4;4;1985 construction, 2023 renovation;Brick;Electric, other;Fully equipped;;New sewage system New electrical installation Internet Kitchen merged with room;Parking space;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower;Steel doors Code door lock Video surveillance;920 m;1,2 km;710 m;390 m;3;;
Vilnius;Markučiai;Manufaktūrų g.;495 000 € (6 090 €/m²);9;;81,28 m²;3;2;5;2022;Brick;Central thermostat;Fully equipped;;New sewage system New electrical installation Kitchen merged with room;Balcony;Furniture Conditioner Washing machine Floor heating system Kitchen furniture Stove Dish washer Recuperation;Steel doors Alarm system Video surveillance Code door lock;170 m;720 m;50 m;250 m;"38,20 €/month
~ 0,47 €/m²";;
Vilnius;Pilaitė;I. Simonaitytės g.;172 000 € (2 801 €/m²);4;;61,41 m²;3;4;5;2009;Brick;Central thermostat;Fully equipped;;;;;;160 m;160 m;350 m;380 m;5;;
Vilnius;Justiniškės;Rygos g.;117 000 € (3 305 €/m²);;;35,4 m²;2;2;9;2024;Brick;Central thermostat;Fully equipped;B;New sewage system New electrical installation Internet Cable television;Balcony;Bath;Steel doors Code door lock;180 m;360 m;110 m;210 m;9;;
Vilnius;Justiniškės;Rygos g.;168 500 € (2 114 €/m²);;;79,7 m²;3;3;9;2024;Brick;Central thermostat;Fully equipped;B;New sewage system New electrical installation Internet Cable television;Balcony;Bath;Steel doors Code door lock;180 m;360 m;110 m;210 m;9;;
Vilnius;Šiaurės miestelis;Kareivių g.;"Price increased 1,9%
142 500 € (2 969 €/m²)";;;48 m²;2;12;16;2005;Brick;Central thermostat;Fully equipped;;New sewage system New electrical installation Internet Cable television;;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Bath;Steel doors Code door lock;70 m;520 m;140 m;90 m;"31,20 €/month
~ 0,65 €/m²";;
Vilnius;Lazdynėliai;Motiejukų g.;159 999 € (2 909 €/m²);14;;55 m²;3;1;3;1994 construction, 2015 renovation;Brick;Gas;Fully equipped;;Two-floor flat New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony Terrace Cellar Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Shower;Steel doors Code door lock;180 m;1,5 km;350 m;370 m;0;;
Vilnius;Viršuliškės;Viršilų g.;187 000 € (2 338 €/m²);11;;79,97 m²;3;9;23;2007;Brick;Central;Fully equipped;;;Parking space;Washing machine Refrigerator Stove Dish washer;Steel doors;420 m;370 m;580 m;280 m;"66,38 €/month
~ 0,83 €/m²";;
Vilnius;Jeruzalė;P. Žadeikos g.;"Price increased 3,3%
155 000 € (2 500 €/m²)";;;62 m²;2;5;7;2004;Brick;Central thermostat;Fully equipped;;Private yard;Storeroom Balcony Closet;;Steel doors Code door lock Video surveillance;450 m;290 m;90 m;130 m;4;;
Vilnius;Antakalnis;P. Vileišio g.;170 000 € (2 478 €/m²);;;68,6 m²;3;5;5;1969;Brick;Central;Fully equipped;;;;;;560 m;180 m;330 m;180 m;9;;
Vilnius;Fabijoniškės;S. Stanevičiaus g.;159 800 € (1 998 €/m²);88;;80 m²;4;8;9;1989;Block house;Central;Fully equipped;;Has elevator;Balcony Cellar;Kitchen furniture;Code door lock;110 m;140 m;390 m;260 m;8;;
Vilnius;Antakalnis;Žolyno g.;199 880 € (3 331 €/m²);13;;60 m²;2;2;4;2001;Brick;Central;Fully equipped;;;Balcony Cellar;;;370 m;620 m;430 m;180 m;10;;
Vilnius;Karoliniškės;Virginijaus Druskio g.;92 700 € (1 962 €/m²);9;;47,24 m²;2;2;5;1972;Block house;Central;Fully equipped;;Separate bathroom and WC Internet Cable television;Balcony Cellar;Furniture Refrigerator Stove;Steel doors Code door lock;270 m;160 m;210 m;200 m;7;;
Vilnius;Antakalnis;Duburio g.;129 000 € (2 249 €/m²);10;;57,37 m²;2;3;4;2023;Brick;Gas;Partially equipped;;High ceiling New sewage system New electrical installation Private yard Internet Cable television;Balcony Parking space;Floor heating system Plastic pipes;Steel doors Code door lock;1,7 km;1,6 km;1,3 km;450 m;0;;
Vilnius;Antakalnis;Duburio g.;131 500 € (2 209 €/m²);10;;59,54 m²;3;2;4;2023;Brick;Gas;Partially equipped;;Has elevator High ceiling New sewage system New electrical installation Internet Kitchen merged with room;Balcony Parking space;Floor heating system Plastic pipes;Steel doors Code door lock;1,7 km;1,6 km;1,3 km;450 m;0;;
Vilnius;Naujamiestis;Birželio 23-iosios g.;95 000 € (2 969 €/m²);11;;32 m²;1;4;5;1959 construction, 2025 renovation;Block house;Central;Fully equipped;;;Balcony Cellar;;;150 m;370 m;320 m;370 m;23;;
Vilnius;Antakalnis;Duburio g.;168 000 € (2 455 €/m²);10;;68,44 m²;3;2;4;2023;Brick;Gas;Partially equipped;;High ceiling New sewage system New electrical installation Private yard Internet Cable television;Balcony Parking space;Floor heating system;Steel doors Code door lock;1,7 km;1,6 km;1,3 km;450 m;0;;
Vilnius;Antakalnis;Duburio g.;199 000 € (2 879 €/m²);10;;69,12 m²;3;2;4;2023;Brick;Gas;Fully equipped;;Has elevator High ceiling New sewage system New electrical installation Private yard Internet Cable television;Balcony Parking space;Floor heating system Plastic pipes;Steel doors Code door lock;1,7 km;1,6 km;1,3 km;450 m;0;;
Vilnius;Naujamiestis;Vytenio g.;160 000 € (3 478 €/m²);35;;46 m²;2;3;5;1961 construction, 2025 renovation;Block house;Central;Fully equipped;;New sewage system New electrical installation Internet;Balcony Cellar;Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower;Steel doors;90 m;310 m;380 m;190 m;"51,98 €/month
~ 1,13 €/m²";;
Vilnius;Viršuliškės;Poligrafijos g.;179 000 € (3 411 €/m²);4;;52,47 m²;2;2;9;2022;Brick;Central thermostat;Fully equipped;A+;Has elevator New sewage system New electrical installation Private yard Kitchen merged with room;Balcony Parking space;Floor heating system Plastic pipes Recuperation;Steel doors Code door lock;350 m;450 m;500 m;260 m;"19,94 €/month
~ 0,38 €/m²";;
Vilnius;Viršuliškės;Poligrafijos g.;179 000 € (3 411 €/m²);4;;52,47 m²;2;4;9;2022;Brick;Central thermostat;Fully equipped;A+;New sewage system New electrical installation Kitchen merged with room;Balcony Parking space;Floor heating system Plastic pipes Recuperation;Steel doors Code door lock;350 m;450 m;500 m;260 m;"19,94 €/month
~ 0,38 €/m²";;
Vilnius;Antakalnis;Tverečiaus g.;146 000 € (3 293 €/m²);3;;44,34 m²;2;2;5;1964;Brick;Central;Fully equipped;;Internet;Balcony Cellar;;;210 m;210 m;130 m;150 m;"58,97 €/month
~ 1,33 €/m²";;
Vilnius;Senamiestis;Šv. Stepono g.;275 000 € (3 782 €/m²);;;72,72 m²;3;3;3;1940 construction, 2009 renovation;Brick;Other;Fully equipped;;;;;;70 m;160 m;170 m;140 m;44;;
Vilnius;Filaretai;Filaretų g.;129 900 € (3 764 €/m²);;;34,51 m²;1;2;5;1984;Brick;Central;Fully equipped;;Internet Kitchen merged with room Cable television;Balcony;Furniture Conditioner;Steel doors Code door lock;430 m;70 m;190 m;280 m;"45,21 €/month
~ 1,31 €/m²";;
Vilnius;Senamiestis;A. Stulginskio g.;429 000 € (4 136 €/m²);5;;103,72 m²;3;3;5;1956;Brick;Central;Fully equipped;;High ceiling Separate bathroom and WC New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Bath;Steel doors Alarm system Code door lock;270 m;340 m;110 m;240 m;21;;
Vilnius;Senamiestis;Raugyklos g.;119 000 € (4 577 €/m²);13;;26 m²;1;1;3;1959;Brick;Central;Fully equipped;;New sewage system New electrical installation Internet Cable television Kitchen merged with room;;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower;Steel doors Alarm system Code door lock;170 m;90 m;170 m;200 m;"23,92 €/month
~ 0,92 €/m²";;
Vilnius;Karoliniškės;Rolando Jankausko g.;"Price decreased 0,8%
108 999 € (2 370 €/m²)";1;;46 m²;2;9;12;1973;Block house;Central;Fully equipped;;New sewage system Internet Cable television;Storeroom Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Bath;Steel doors;500 m;240 m;150 m;70 m;14;;
Vilnius;Senamiestis;Sodų g.;140 000 € (5 790 €/m²);6;;24,18 m²;1;4;4;2020;Brick;Central thermostat;Fully equipped;A;High ceiling Kitchen merged with room;Balcony;Furniture Refrigerator Floor heating system Stove Bath Recuperation;Steel doors;120 m;250 m;200 m;90 m;52;;
Vilnius;Šnipiškės;Kalvarijų g.;90 000 € (3 462 €/m²);;;26 m²;2;8;9;1990;Brick;Central;Fully equipped;;High ceiling Two-floor flat Kitchen merged with room;;Washing machine Furniture Kitchen furniture Shower;Steel doors;120 m;200 m;290 m;110 m;15;;
Vilnius;Naujininkai;Dzūkų g.;89 000 € (1 730 €/m²);;;51,44 m²;2;4;5;1968;Brick;Central;Not equipped;;Separate bathroom and WC;Balcony;;Code door lock;180 m;320 m;80 m;90 m;"55,56 €/month
~ 1,08 €/m²";;
